village,state,growth_score,x_round,y_round,longitude,latitude
Sirsa,UP,0.7400353,173.0,66.0,8635913.3434538,3304697.2217931757
Jalpura,UP,0.7172198,172.0,66.0,8620905.45765022,3318373.8699963684
Tusyana,UP,0.7096709,172.0,66.0,8624983.429570792,3317864.34157461
Ladpura,UP,0.69657797,173.0,66.0,8637112.8553275,3303250.2872087574
Haibatpur,UP,0.6953555,172.0,67.0,8618685.053604303,3325805.152572018
Patwari,UP,0.68878144,172.0,66.0,8622343.271162873,3323082.5848336373
Tilpata Karanwas,UP,0.68497074,173.0,66.0,8630443.915132085,3316185.0356594096
Jaffar Pur Alias Hiran Kudna,DL,0.6832015,171.0,67.0,8571378.11538605,3333670.2582261106
Bhanauta,UP,0.68059635,173.0,66.0,8627191.767691838,3319041.0000150064
Saini,UP,0.67911357,173.0,66.0,8625491.943117004,3320788.074301887
Sikri Kalan CT,UP,0.67889816,173.0,67.0,8632498.98258289,3351014.3976585898
Greater Noida CT,UP,0.67728645,173.0,66.0,8627645.40084591,3310096.2022638717
Nacholi,HR,0.67379326,172.0,66.0,8616393.017478373,3300675.5653201602
Khodna Khurd,UP,0.6730161,173.0,66.0,8627097.774528868,3316970.4086037204
Devla,UP,0.6727904,173.0,66.0,8628114.252228905,3315697.5421462627
Nalgadha,UP,0.67234325,172.0,66.0,8620689.774972698,3310382.5776698603
Badauli Khader,UP,0.67193216,172.0,66.0,8623387.031993093,3307539.463751719
Duriyai,UP,0.6717308,173.0,67.0,8627667.558909386,3329498.6184029337
Shafipur,UP,0.6708711,173.0,66.0,8626313.939030686,3305944.9203759036
Gohiyapur,UP,0.66925764,172.0,66.0,8619738.543432811,3309393.6615299503
Asdullapur,UP,0.66893774,172.0,66.0,8617141.977132613,3310485.896276066
Khodna Kalan,UP,0.6684136,173.0,66.0,8628888.524267832,3317624.0480855484
Chhaproli Khadar,UP,0.66781133,172.0,66.0,8616363.232786112,3310708.5766129266
Kondli Khadar,UP,0.66774046,173.0,66.0,8625147.811251452,3305424.7870603944
Nagla Nagli,UP,0.66749686,172.0,66.0,8614059.286724443,3311885.7097235993
Kondli Bangar,UP,0.6674309,172.0,66.0,8624746.189324874,3303607.8905650475
Gulavali,UP,0.6672199,172.0,66.0,8619974.376889305,3308074.405821165
Dostpur Mangroli Bangar,UP,0.66697115,172.0,66.0,8617676.126086257,3309334.7714315485
Jhatta,UP,0.66655296,172.0,66.0,8621495.630959416,3306577.292386824
Junpat,UP,0.66648096,173.0,66.0,8633814.809380146,3311754.389221984
Sunpura Sohanpur,UP,0.6663944,173.0,66.0,8627118.644783098,3320557.4586378215
Nagli Bahrampur,UP,0.66636103,172.0,66.0,8613127.205045698,3311634.3881941945
Baleveeranahalli,KA,0.66593814,172.0,29.0,8618813.356562417,1434539.267810733
Chak Mangroli,UP,0.66585416,172.0,66.0,8616143.65560059,3309512.8342977855
Bhatola,HR,0.6653396,172.0,66.0,8611197.905114217,3298663.8666440807
Khera Choganpur,UP,0.6651452,172.0,66.0,8623120.153302483,3318335.4528539474
Duhri,UP,0.66496325,173.0,67.0,8647914.210540874,3338918.3601241354
Thapkhera,UP,0.6648143,173.0,66.0,8633546.625475703,3313139.8572195875
Mangrola,UP,0.6647371,172.0,66.0,8615623.527233003,3310181.2654648526
Kambakashpur,UP,0.6645021,172.0,66.0,8622407.624607524,3305287.990274339
Bhola Rawal,UP,0.66418713,173.0,66.0,8627045.477504224,3321582.700260935
Khedi,UP,0.6640368,173.0,66.0,8628352.91050434,3319959.6658092635
Dostpur Mangroli Khadar,UP,0.6638969,172.0,66.0,8616598.454254022,3308627.0974555844
Kirachpur Urf Kailashpur,UP,0.66384876,173.0,66.0,8629705.373733575,3318928.944473781
Roopvas,UP,0.6632794,173.0,66.0,8630914.18104985,3318747.564623357
Pali,UP,0.66305876,173.0,66.0,8632255.89695788,3314957.3503285823
Yakutpur I,UP,0.66303796,172.0,66.0,8617897.361794347,3307603.1896993173
Kidawali,UP,0.6627893,172.0,66.0,8615783.825146731,3308542.4265557877
Gari Samastpur,UP,0.6625963,172.0,66.0,8624250.637576187,3302435.8395531983
Aurangabad,UP,0.6624885,172.0,66.0,8622854.445475958,3303895.5930325007
Chamrawali Bodaki,UP,0.66234374,173.0,66.0,8634720.752394876,3313184.4389654896
Dalelpur,UP,0.6621603,172.0,66.0,8618479.785583802,3306675.6989782494
Jon Samana,UP,0.6619799,173.0,66.0,8627463.360376175,3322633.9892935273
Yakootpur Ii,UP,0.66193974,172.0,66.0,8616691.728298835,3307035.689071253
Emnabad,UP,0.6619167,172.0,66.0,8622149.580427308,3319463.07164485
Baidpura,UP,0.66174704,173.0,66.0,8626068.581105929,3322454.7651518174
Nagli Sabapur,UP,0.66168165,172.0,66.0,8614831.263441222,3309088.5226635346
Quammruddin Nagar CT,DL,0.66163963,172.0,67.0,8577972.778685547,3333606.7112604287
Hazratpur,UP,0.66150945,173.0,66.0,8635228.376319416,3311989.2096432266
Basantpur Banger,UP,0.66134447,172.0,66.0,8610901.563948877,3312615.3757635844
Fajjupur,HR,0.6613187,172.0,66.0,8612043.84747607,3296289.434744503
Mortzapur,HR,0.6610493,172.0,66.0,8611386.563487375,3294986.107092606
Kathhera,UP,0.6609457,173.0,66.0,8632894.274834296,3316676.7342150235
Gharbarah,UP,0.6608504,173.0,66.0,8627688.762648359,3300174.9036480086
Khairpur Gurjar,UP,0.6608065,172.0,66.0,8623982.820625905,3321190.764151686
Palla,UP,0.6606259,173.0,66.0,8633971.723040778,3315088.8552401545
Tilwara,UP,0.66061527,173.0,66.0,8626048.17505152,3300741.7007247764
Mouzabad,HR,0.6601842,172.0,66.0,8618160.206112081,3304906.368462907
Lalpur,HR,0.65998256,172.0,66.0,8616477.209031671,3305890.177649737
Amka,UP,0.65932167,173.0,66.0,8630276.859722903,3320156.629635172
Chak Basantpur,UP,0.6593215,172.0,66.0,8610666.82837131,3313796.84471492
Jait Pur CT,DL,0.659091,172.0,66.0,8608359.247779775,3313709.5932439817
Bisnoli,UP,0.6590698,173.0,67.0,8627573.504622139,3326708.525658663
Chamrawali Ramgarh,UP,0.6590237,173.0,66.0,8636583.96718289,3312373.4316201555
Kirawali,HR,0.6588937,172.0,66.0,8615381.946191404,3306826.9143093936
Kail Gaon,HR,0.65887797,172.0,66.0,8604670.01508482,3286583.722580989
Sadullapur,UP,0.65851843,173.0,66.0,8625974.083514925,3323741.4099099822
Bhaskola,HR,0.65820825,172.0,66.0,8618581.613095546,3304350.803125098
Dungarpur,HR,0.65820825,172.0,66.0,8618815.642887983,3303606.9464295884
Mahavatpur,HR,0.6580253,172.0,66.0,8616770.70176457,3304930.7699326808
Datawali,UP,0.65781665,173.0,66.0,8635435.552088402,3314267.616224902
Salarpur Khadar CT,UP,0.6577864,172.0,66.0,8615196.673640607,3319015.1357932254
Mithe Pur CT,DL,0.6576734,172.0,66.0,8607016.022727756,3311218.5205654334
Bisrakh Jalalpur,UP,0.6576627,172.0,66.0,8620631.38975787,3321089.8494234383
Ghodi Bachheda,UP,0.65765417,173.0,66.0,8635436.147087255,3309990.698836001
Dadsiya,HR,0.65754676,172.0,66.0,8612847.404378165,3307509.060498553
Milk Lachchhi,UP,0.65749305,172.0,66.0,8624119.82223381,3323718.302180272
Amipur,HR,0.65748966,172.0,66.0,8623272.85934605,3300385.6036560433
Sadhopur,UP,0.6574716,173.0,66.0,8628457.931665625,3323473.0315507157
Tilori Khadar,HR,0.6574101,172.0,66.0,8621440.91230486,3302123.481515825
Achheja,UP,0.65734065,173.0,67.0,8626962.012473201,3325014.047092696
Shikargah,HR,0.6572929,172.0,66.0,8619836.774789015,3303200.1377803693
Molar Band CT,DL,0.65683746,172.0,66.0,8606728.18521995,3312867.5611649975
Sikanderpur,UP,0.6567414,173.0,66.0,8627312.906822596,3298159.892698569
Dadri,UP,0.65671957,173.0,66.0,8632792.795115938,3318850.3058378673
Sherpur Khadar,HR,0.6558664,172.0,66.0,8614186.717968225,3305431.1461109207
Taj Pul CT,DL,0.65542054,172.0,66.0,8605768.523093106,3311388.3885517316
Dhoom Manikpur,UP,0.6550202,173.0,66.0,8630742.148294603,3322420.825197434
Pul Pehlad CT,DL,0.6550027,172.0,66.0,8603799.971550161,3312182.912876469
Aali CT,DL,0.65485954,172.0,66.0,8606915.290488977,3314850.4003617214
